city_name,city_id,OBJECTID,CT20,pct_censustract
Industry,3,1348,408137,0.0002
Unincorporated,31,1348,408137,0.3535
Walnut,113,1348,408137,0.0001
West Covina,121,1348,408137,0.6462
Industry,3,1349,408138,0.0025
Unincorporated,31,1349,408138,0.9972
West Covina,121,1349,408138,0.0003
Industry,3,1350,408139,0.0003
Unincorporated,31,1350,408139,0.9997
West Covina,121,1350,408139,0
Industry,3,1351,408140,0.0011
Unincorporated,31,1351,408140,0.9989
West Covina,121,1351,408140,0
Industry,3,1352,408141,0.0002
Unincorporated,31,1352,408141,0.8781
West Covina,121,1352,408141,0.1217
Industry,3,1353,408212,0.3419
Unincorporated,31,1353,408212,0.6581
West Covina,121,1353,408212,0
Industry,3,1354,408213,0.0016
Unincorporated,31,1354,408213,0.9984
Industry,3,1355,408301,0.0842
Unincorporated,31,1355,408301,0.9158
Industry,3,1356,408302,0.3329
South El Monte,187,1356,408302,0
Unincorporated,31,1356,408302,0.6671
Industry,3,1357,408303,0.0163
Unincorporated,31,1357,408303,0.9837
Industry,3,1358,408401,0.0013
Unincorporated,31,1358,408401,0.9987
Industry,3,1359,408402,0.0994
Unincorporated,31,1359,408402,0.0007
Unincorporated,31,1359,408402,0.8999
La Habra Heights,195,1360,408503,0
Unincorporated,31,1360,408503,1
Whittier,243,1360,408503,0
Unincorporated,31,1361,408504,1
Unincorporated,31,1362,408505,1
Industry,3,1363,408623,0.0016
Unincorporated,31,1363,408623,0.9984
Industry,3,1364,408624,0.0001
Unincorporated,31,1364,408624,0.9999
Unincorporated,31,1365,408625,1
Industry,3,1366,408626,0.0027
Unincorporated,31,1366,408626,0.9973
La Habra Heights,195,1367,408627,0.0002
Unincorporated,31,1367,408627,0.9998
La Habra Heights,195,1368,408628,0
Unincorporated,31,1368,408628,1
La Habra Heights,195,1369,408629,0.0002
Unincorporated,31,1369,408629,0.9998
Unincorporated,31,1370,408631,1
Diamond Bar,6,1371,408703,0.0322
La Habra Heights,195,1371,408703,0.0566
Unincorporated,31,1371,408703,0.002
Unincorporated,31,1371,408703,0.9091
Unincorporated,31,1372,408705,1
Diamond Bar,6,1373,408707,0.4179
Unincorporated,31,1373,408707,0.5821
Unincorporated,31,1374,408722,1
Unincorporated,31,1375,408724,1
Unincorporated,31,1376,408725,1
Pomona,119,1377,408800,1
La Verne,85,1378,408900,0.8524
